,Надгруппа,Группа товаров,Подгруппа товаров,Товар,Общий рейтинг,Безопасность,Натуральность,Пищевая ценность,Качество,Ссылка на сайт
0,Продукты,Молочные продукты,Молоко - рейтинг,"Молоко ""Экомилк"" 3,2% пастеризованное",-1,95,75,67,79,https://roscontrol.com/product/moloko-ekomilk/
1,Продукты,Молочные продукты,Молоко - рейтинг,"Молоко ""Ашан"" 2,5%, пастеризованное",76,88,70,61,86,https://roscontrol.com/product/ashan-25-pasterizovannoe/
2,Продукты,Молочные продукты,Молоко - рейтинг,"Молоко ""Вологодское лето"" 2,5%, пастеризованное",70,83,70,66,62,https://roscontrol.com/product/vologodskoe-leto-25-pasterizovannoe/
3,Продукты,Молочные продукты,Молоко - рейтинг,"Молоко ""Молоко нашей дойки"" 2,5%, пастеризованное",73,90,70,62,70,https://roscontrol.com/product/moloko-nashey-doyki-25-pasterizovannoe/
4,Продукты,Молочные продукты,Молоко - рейтинг,"Молоко Billa 2,5%, пастеризованное",72,89,65,61,73,https://roscontrol.com/product/billa-25-pasterizovannoe/
5,Продукты,Молочные продукты,Молоко - рейтинг,"Молоко ""Сарафаново"" 2,5%, пастеризованное",72,89,65,62,73,https://roscontrol.com/product/sarafanovo-25-pasterizovannoe/
6,Продукты,Молочные продукты,Молоко - рейтинг,"Молоко ""Простоквашино"" 2,5%, пастеризованное",75,89,70,62,80,https://roscontrol.com/product/prostokvashino-25-pasterizovannoe/
7,Продукты,Молочные продукты,Молоко - рейтинг,"Молоко ""Домик в деревне"" 2,5%, пастеризованное",73,86,70,62,75,https://roscontrol.com/product/moloko-pasterizovannoe-domik-v-derevne-2-5/
8,Продукты,Молочные продукты,Молоко - рейтинг,"Молоко ""Зеленая линия / Маркет Перекресток"", 3,2% пастеризованное",75,80,80,67,73,https://roscontrol.com/product/zelenaya-liniya-market-perekrestok-32-pasterizovannoe/
9,Продукты,Молочные продукты,Молоко - рейтинг,"Молоко ""Искренне Ваш"", 3,2% пастеризованное",70,62,70,66,83,https://roscontrol.com/product/iskrenne-vash-32-pasterizovannoe/
10,Продукты,Молочные продукты,Молоко - рейтинг,"Молоко Globus, 3,2% пастеризованное",75,66,75,67,93,https://roscontrol.com/product/globus-32-pasterizovannoe/
